gene_claim_name	gene_concept_id	gene_name	interaction_source_db_name	interaction_source_db_version	interaction_type	interaction_score	drug_claim_name	drug_concept_id	drug_name	approved	immunotherapy	anti_neoplastic
TOP2A	hgnc:11989	TOP2A	ChEMBL	32	inhibitor	0.04787342	IDARUBICIN HYDROCHLORIDE	rxcui:5650	IDARUBICIN	TRUE	FALSE	TRUE
TNF	hgnc:11892	TNF	ChEMBL	32	inhibitor	0.085478339	ADALIMUMAB	rxcui:2103477	ADALIMUMAB-ADBM	TRUE	FALSE	FALSE
HRH1	hgnc:5182	HRH1	ChEMBL	32	inhibitor	0.475645596	DIPHENHYDRAMINE CITRATE	rxcui:82004	DIPHENHYDRAMINE CITRATE	TRUE	FALSE	FALSE
HTR2B	hgnc:5294	HTR2B	ChEMBL	32	agonist	0.819167415	METHYLERGONOVINE MALEATE	rxcui:84158	METHYLERGONOVINE MALEATE	TRUE	FALSE	FALSE
AGTR1	hgnc:336	AGTR1	ChEMBL	32	inhibitor	0.99966193	EPROSARTAN MESYLATE	rxcui:236878	EPROSARTAN MESYLATE	TRUE	FALSE	FALSE
ALOX5	hgnc:435	ALOX5	ChEMBL	32	inhibitor	0.263303812	MECLOFENAMATE SODIUM	rxcui:6677	MECLOFENAMATE SODIUM	TRUE	FALSE	FALSE
AVPR1A	hgnc:895	AVPR1A	ChEMBL	32	inhibitor	1.404286998	CONIVAPTAN HYDROCHLORIDE	rxcui:1294548	CONIVAPTAN HYDROCHLORIDE	TRUE	FALSE	FALSE
RAF1	hgnc:9829	RAF1	ChEMBL	32	inhibitor	0.221175202	SORAFENIB TOSYLATE	rxcui:495881	SORAFENIB	TRUE	FALSE	TRUE
SLC6A4	hgnc:11050	SLC6A4	ChEMBL	32	inhibitor	0.077964381	AMITRIPTYLINE HYDROCHLORIDE	rxcui:203168	AMITRIPTYLINE HYDROCHLORIDE	TRUE	FALSE	FALSE
SLC6A4	hgnc:11050	SLC6A4	ChEMBL	32	inhibitor	0.331348617	VENLAFAXINE HYDROCHLORIDE	rxcui:235988	VENLAFAXINE HYDROCHLORIDE	TRUE	FALSE	FALSE
SCTR	hgnc:10608	SCTR	ChEMBL	32	agonist	44.23504042	SECRETIN	rxcui:606396	"SECRETIN HUMAN, SYNTHETIC"	TRUE	FALSE	FALSE
PDGFRB	hgnc:8804	PDGFRB	ChEMBL	32	inhibitor	0.088922779	SORAFENIB TOSYLATE	rxcui:495881	SORAFENIB	TRUE	FALSE	TRUE
IGF1R	hgnc:5465	IGF1R	ChEMBL	32	agonist	1.512309074	MECASERMIN	rxcui:274403	MECASERMIN	TRUE	FALSE	FALSE
DPP4	hgnc:3009	DPP4	ChEMBL	32	inhibitor	1.769401617	SITAGLIPTIN PHOSPHATE	rxcui:593411	SITAGLIPTIN	TRUE	FALSE	FALSE
KCNH2	hgnc:6251	KCNH2	ChEMBL	32	blocker	0.112022894	SOTALOL HYDROCHLORIDE	rxcui:7008	SOTALOL HYDROCHLORIDE	TRUE	FALSE	FALSE
